0date,key_rate,loan_rate
20250901,0.18,0.1885
20251119,0.17,0.2056
20260123,0.16,0.1956
20250513,0.21,0.1985
20260301,0.16,0.1856
20260402,0.15,0.1756
20250723,0.2,0.1985
20250829,0.18,0.1985
20251215,0.17,0.1956
20260508,0.15,0.1756
20250617,0.2,0.1985
20251025,0.17,0.2056
20260114,0.16,0.1956
20250924,0.17,0.1885
20251110,0.17,0.2056
20260427,0.15,0.1756
20250714,0.2,0.1985
20250520,0.21,0.1985
20260324,0.15,0.1856
20250430,0.21,0.1985
20250804,0.18,0.1985
20251222,0.16,0.1956
20260517,0.15,0.1756
20250608,0.21,0.1985
20260204,0.16,0.1956
20260323,0.15,0.1856
20250527,0.21,0.1985
20250701,0.2,0.1985
20260420,0.15,0.1756
20251105,0.17,0.2056
20260602,0.15,0.1656
20250923,0.17,0.1885
20260101,0.16,0.1956
20260211,0.16,0.1956
20250607,0.21,0.1985
20251015,0.17,0.2056
20251225,0.16,0.1956
20260530,0.15,0.1756
20250811,0.18,0.1985
20250417,0.21,0.1985
20250724,0.2,0.1985
20260413,0.15,0.1756
20260314,0.16,0.1856
20250502,0.21,0.1985
20260124,0.16,0.1956
20251128,0.17,0.2056
20250914,0.18,0.1885
20251022,0.17,0.2056
20260218,0.16,0.1956
20250630,0.2,0.1985
20260507,0.15,0.1756
20250818,0.18,0.1985
20250816,0.18,0.1985
20251202,0.17,0.1956
20260505,0.15,0.1756
20251020,0.17,0.2056
20250628,0.2,0.1985
20260216,0.16,0.1956
20260126,0.16,0.1956
20250912,0.18,0.1885
20251130,0.17,0.2056
20260415,0.15,0.1756
20250726,0.2,0.1985
20260312,0.16,0.1856
20250809,0.18,0.1985
20251227,0.16,0.1956
20260528,0.15,0.1756
20250419,0.21,0.1985
20250605,0.21,0.1985
20260209,0.16,0.1956
20251013,0.17,0.2056
20250921,0.17,0.1885
20251107,0.17,0.2056
20260103,0.16,0.1956
20250525,0.21,0.1985
20260321,0.16,0.1856
20260422,0.15,0.1756
20250703,0.2,0.1985
20260217,0.16,0.1956
20250629,0.2,0.1985
20251021,0.17,0.2056
20251203,0.17,0.1956
20260504,0.15,0.1756
20250817,0.18,0.1985
20250411,0.21,0.1985
20260313,0.16,0.1856
20250501,0.21,0.1985
20250727,0.2,0.1985
20260414,0.15,0.1756
20250913,0.18,0.1885
20260127,0.16,0.1956
20251012,0.17,0.2056
20260208,0.16,0.1956
20250604,0.21,0.1985
20250418,0.21,0.1985
20251226,0.16,0.1956
20250808,0.18,0.1985
20260529,0.15,0.1756
20250702,0.2,0.1985
20260423,0.15,0.1756
20260320,0.16,0.1856
20250524,0.21,0.1985
20260102,0.16,0.1956
20251106,0.17,0.2056
20260601,0.15,0.1656
20250920,0.17,0.1885
20250922,0.17,0.1885
20251104,0.17,0.2056
20260603,0.15,0.1656
20260421,0.15,0.1756
20250526,0.21,0.1985
20260322,0.16,0.1856
20250416,0.21,0.1985
20250810,0.18,0.1985
20251224,0.16,0.1956
20260531,0.15,0.1756
20251014,0.17,0.2056
20250606,0.21,0.1985
20260210,0.16,0.1956
20250915,0.17,0.1885
20251129,0.17,0.2056
20260125,0.16,0.1956
20250503,0.21,0.1985
20260315,0.16,0.1856
20260412,0.15,0.1756
20250725,0.2,0.1985
20250819,0.18,0.1985
20251201,0.17,0.1956
20260506,0.15,0.1756
20260219,0.16,0.1956
20251023,0.17,0.2056
20250722,0.2,0.1985
20260403,0.15,0.1756
20250512,0.21,0.1985
20260122,0.16,0.1956
20251118,0.17,0.2056
20251024,0.17,0.2056
20260228,0.16,0.1956
20250616,0.2,0.1985
20251214,0.17,0.1956
20260509,0.15,0.1756
20250828,0.18,0.1985
20260325,0.15,0.1856
20250521,0.21,0.1985
20250715,0.2,0.1985
20260426,0.15,0.1756
20251111,0.17,0.2056
20250925,0.17,0.1885
20260115,0.16,0.1956
20260205,0.16,0.1956
20250609,0.2,0.1985
20251001,0.17,0.2056
20251223,0.16,0.1956
20250805,0.18,0.1985
20260516,0.15,0.1756
20250807,0.18,0.1985
20251221,0.17,0.1956
20260518,0.15,0.1756
20250429,0.21,0.1985
20250611,0.2,0.1985
20260207,0.16,0.1956
20251003,0.17,0.2056
20250927,0.17,0.1885
20251109,0.17,0.2056
20260113,0.16,0.1956
20250523,0.21,0.1985
20260327,0.15,0.1856
20260424,0.15,0.1756
20250713,0.2,0.1985
20250830,0.18,0.1985
20251212,0.17,0.1956
20260511,0.15,0.1756
20251026,0.17,0.2056
20250618,0.2,0.1985
20260120,0.16,0.1956
20250902,0.18,0.1885
20251116,0.17,0.2056
20260401,0.15,0.1756
20250720,0.2,0.1985
20250514,0.21,0.1985
20260302,0.16,0.1856
20250528,0.21,0.1985
20260316,0.16,0.1856
20260419,0.15,0.1756
20250706,0.2,0.1985
20250916,0.17,0.1885
20251102,0.17,0.2056
20260605,0.15,0.1656
20260106,0.16,0.1956
20260212,0.16,0.1956
20251008,0.17,0.2056
20250812,0.18,0.1985
20251230,0.16,0.1956
20260525,0.15,0.1756
20250422,0.21,0.1985
20260410,0.15,0.1756
20250731,0.18,0.1985
20250505,0.21,0.1985
20260309,0.16,0.1856
20260131,0.16,0.1956
20250909,0.18,0.1885
20251127,0.17,0.2056
20251017,0.17,0.2056
20250625,0.2,0.1985
20260221,0.16,0.1956
20250415,0.21,0.1985
20250821,0.18,0.1985
20251207,0.17,0.1956
20250413,0.21,0.1985
20251205,0.17,0.1956
20260502,0.15,0.1756
20250823,0.18,0.1985
20251019,0.17,0.2056
20260223,0.16,0.1956
20250627,0.2,0.1985
20260129,0.16,0.1956
20251125,0.17,0.2056
20250911,0.18,0.1885
20250729,0.18,0.1985
20260408,0.15,0.1756
20260311,0.16,0.1856
20250507,0.21,0.1985
20251228,0.16,0.1956
20260527,0.15,0.1756
20250814,0.18,0.1985
20250420,0.21,0.1985
20260214,0.16,0.1956
20250602,0.21,0.1985
20251010,0.17,0.2056
20250918,0.17,0.1885
20260104,0.16,0.1956
20260318,0.16,0.1856
20250530,0.21,0.1985
20250704,0.2,0.1985
20260417,0.15,0.1756
20251005,0.17,0.2056
20250613,0.2,0.1985
20260201,0.16,0.1956
20250427,0.21,0.1985
20250801,0.18,0.1985
20251219,0.17,0.1956
20260520,0.15,0.1756
20260430,0.15,0.1756
20250711,0.2,0.1985
20250517,0.21,0.1985
20260329,0.15,0.1856
20260111,0.16,0.1956
20250929,0.17,0.1885
20251115,0.17,0.2056
20250620,0.2,0.1985
20260224,0.16,0.1956
20251028,0.17,0.2056
20250824,0.18,0.1985
20251210,0.17,0.1956
20260513,0.15,0.1756
20250508,0.21,0.1985
20260304,0.16,0.1856
20260407,0.15,0.1756
20250718,0.2,0.1985
20250904,0.18,0.1885
20251122,0.17,0.2056
20260118,0.16,0.1956
20251120,0.17,0.2056
20250906,0.18,0.1885
20260116,0.16,0.1956
20260306,0.16,0.1856
20250510,0.21,0.1985
20250716,0.2,0.1985
20260405,0.15,0.1756
20251208,0.17,0.1956
20260515,0.15,0.1756
20250826,0.18,0.1985
20260226,0.16,0.1956
20250622,0.2,0.1985
20251030,0.17,0.2056
20260109,0.16,0.1956
20251113,0.17,0.2056
20250709,0.2,0.1985
20260428,0.15,0.1756
20260331,0.15,0.1856
20250519,0.21,0.1985
20250425,0.21,0.1985
20251217,0.17,0.1956
20260522,0.15,0.1756
20250803,0.18,0.1985
20251007,0.17,0.2056
20260203,0.16,0.1956
20250615,0.2,0.1985
